1.Activity diagrams are used to support | The process view 
97.Which of the following is not a benefit of hierarchical architecture| Interactive 
98.Which of the following is a disadvantage of hierarchical architecture| Incremental
99.Which of the following is one of the benefits of asynchronous architecture| Loose coupling of modules 
100.Which of the followings is not typical design domain of the asynchronous architecture| Web server site application
101.Which of the following is not a benefit of the MVC architecture| Supports multiple independent agents 
102.Which of the following is a typical design domain for the MVC architecture| Web server site application 
103.Which of the following is not one of the benefits of distributed architecture| Supports multiple views 
104.Which of the following is not a typical style of distributed architecture| Hierarchical structure 
106.Which of the following is not a benefit of component architecture| Performance 
108.Which of the following is true about heterogeneous architecture| If the general structure of a system is connected using one architecture style, and each component can use a different one, this is one example of heterogeneous architecture 
114.In SOA architecture, Interoperability means what| Technically any client or any services regardless of their Platform, Technology, Vendors, Language implementations 
118.SAPCO stands for which| 	It refers to five major principles interface design considers: Simple, Aesthetic, Productive, Customizable, Other 
121.In user interface evaluation step, we should focus on what| The usability of the interface 
# At software developement time, the software element are| source code modules or files which...
# Which of following is Not True about Detailed design step?| We will describe...
# For sofware project resource allocation, the sofware element are..| Specific manipulation
129. UML  diagrams are ________ which are used  for system analysis  and design| Tools
# Which of the following is NOT TRUE  about Architectural design step| Wel will describe the interconnection the components which  visible to stakeholders
# Which of the design below is better| Co 3 draw o duoi 
# At sofware deployment time, the sofware element are___| The executable version
# Architects use___in sofware construction to divide and conquer the complexities of a problem domain to solve the problem.| Various design strategies
# What is an arechitecture design space| dai nhat thi chon
# Which is not a structure which can be described in a sofware architecture?| Dynamic structure
# The following diagram is a description of which architecture style?| 3 angent -> data source. DAP AN: REPOSITORY 
# When you apply Layered Architechture style into system  architecture design , why run  time performance of the system might be slow| A client request or a response to client must go through potentially several layrers.
# Batch Sequence Architecture| Batch Sequence Architecture
# Which the reasoning method that starts with the  initial state of data and proceeds towards a goal| Forward Reasoning
# Which of the following are benefits of Non-buffered Event Based architecture| Framework availabity ,Reusablity of components, Possibility of parallel execution
# You will apply the batch sequential architecture when?| Developing a system where intermediate file is a sequential access fileWhich is NOT the way to make the data flow in Pipe and Filter architecture| Leave  data in a center repository
# Which is the purpose of Main-Subroutine Architecture?| To reuse the subroutines
# Both Sequential and Parallel processing are supported by| Pipe and Filter Architecture
# A Component is NOT___. Which is the best choice?| A whole system which could be executed independent
# In interaction oriented software architecture,_____ is responsible for visual or audio data output presentation and it may also provide user input interface as well when necessary. Which is the best choice?| The view presentation module
# The key point of the interaction oriented software architecture is ___ Which is the best answer| In the separation of user interaction from data abstraction and business data processing
# The important features of a distributed architecture are ______. Which is the best choice?| all of the others
# In Interaction oriented software architecture, ___ provides the data abstraction and all core business logic on data processing. Which is the best choice?| The data module
# Which of the following is the correct statement about Component-based architecture?| - it divides the problem into sub-problem each associated with component partitions
# The interaction oriented software architecture decomposes the system into___. Which is the best choice?| 3 major partitions – Data module, Control module, Presentation Module
# Which of the following statement is a correct description about the job of an architecture designer?| Exhaust all possible solutions, pick up the best one
# Which of the following is the main motivation of Component-based architecture?| Component reusability
# What of the following statement about the characteristic in Service-oriented and Broker are Correct?| Both are hard
# Which of below description is a benefit of PAC architecture style?| Complete separation
# Three-tier and Client-Server architecture| Three-tier and Client-Server architecture
# Which is the statement you can describe about MVC architecture style? MVC is now very popular
# Which of the following attribute related to time and space?| Efficiency
# Which of the following attribute related to  error tolerance and avaibility?| Reliability
# Which of the following attribute related to hardware independence and installability?| Portability
# Which is the reason when you apply component-based architecture, overall system reliability will be increased?| you could increase the reliability....
# In MVC, said that it is easy to plug-in new or change interface views mean thich of following? | it allows updating...
# what of following characteristic do MVC and PAC both have?| Support for developing
1.Which of the following is NOT the benefit of multi-tier architecture style| C-	Load balancing (correct)
2.Event-based architecture is difficult to test and debug| A-	True (correct)
3.Main- subroutine architecture can also be applied in any object-oriented software design| B-	False
4.Component deployment is a good practice in a layered architecture.| A-	True 
6.Client-server architecture is general is better availability than the multi-tier model| B-	False 
8.Sequential flow control can be predetermined in batch sequential| A-	True 
9.Facts are installed in the Blackboard component of the Blackboard architecture?| A-	True
10.RPG is widely used to implement batch sequential| A-	True
11.Event-based architecture style is a buffered architecture| False
12.Only directly adjacent layers can invoke each other’s methods in a layered architecture.| B-	False 
13.Java can be used to implement a pipe and filter design system| A-	True 
14.The control flow in batch sequential is implicit.| True
16.In Thin-client type, the server includes which  of the following processing| C-	Data storage processing, Business Logic Processing
17.Implicit notification is often used in blackboard architecture| A-	True 
18.The control flow in pipe and filter is explicit.| A-	True 
19.FPT’s University CMS is an example of repository design| True
20.The master-slave architecture is a specialized form of main-subroutine architecture|True
21.In Fat-client type, the client includes which  of the following processing| A-	Presentation processing, Business Logic Processing
22.Repository architecture design could NOT be object-oriented design| True
23.Agents in the repository architecture normally do not talk with each other directly, except thought the data store.| True
24.Which of the following is the design style could be applicable in Weather broadcast, Pattern recognition and authentication security systems?| D-	Blackboard architecture
25.Rule-based knowledge is installed in the blackboard component of the blackboard architecture.| True
26.The testing of synchronous architecture is more straightforward than asynchronous architecture.| True
27.Two modules in a data flow system can change their order without any constrains.| B-	False
28.Multiple event targets can register with same event source.| A-	True
29.Hierarchical architecture is a procedure-oriented design paradigm only.| A-	False
30.Sequential flow control can be predetermined in pipe and filter.| A-	True
32.Which of the following is not an open-close principles’s implication?| b.	Feel free to change software code.
33.Architecture design is about choosing the right single architecture style for a project| b.	False
34.Software quality attributes must satisfy functional requirements| b.	False
35.UML diagrams are used for system analysis and design| a.	True
36.The CRC card method in used to identify the responsiblities of each class| True
37.Which of the following notations is used to support the physical view?| d.	Non of the others
38.Which of the following are considered as implementation attributes?| a.	Interoperability, maintainability, prortability, fexibility
39.Which of the following notations is used to support the logical view?| d.	All of the others
40.Pipe-and-Filter is one of the architecture styles| True
41.In a sequence diagram, boxes on top of the diagram can represent classes, objects, and actors. We found a desscription of a box as follow “John:Doctor”. Which of the following is correct experssion?| a.	An object named “John” whose class is “Doctor”
42.Sequence diagram both concurrencies and loops can be specified| c.	Sequence diagram both concurrencies and loops can be specified
43.Which of the following diagram is NOT an structural diagram| 43.	Which of the following diagram is NOT an structural diagram
44.The purpose of the software design phase is to product a software requirement specification| False
45.What is  a class involved in accomplishing the responsibility of a class called in CRC modeling?| a.	Collaboration
47.Which of the following is open-close principle?| b.	Open to extension, close to modification
48.Use case diagrams are generated in the early stages of the SDLC. Whereas deloyment diagrams are generated in the later stges of the SDLC.| a.	True
49.Software architecture design is based on the software requirement specification| True
50.Which are the categories of operations that a class can provide?| b.	Constructor, Destructor, Accessor, Mutator
51.Which of the following are considered as Runtime attributes| b.	Availability, Security, Performance, Usabilty
52.Object-oriented design is a design methodology| True
53.Which view in “4+1” view model identifies software module and their boundaries, interfaces, external environment usage senarios, etc.| a.	Logical view
54.Which of the following is a feature of object oriented methodology?| d.	Inheritance
55.Which is NOT a structure which can be described in a software architecture?| c.	Operation structure
56.Architecture styles contribute to software quality attributes| a.	True
57.Which of the following structures descibe the dynamic properties of software architecture?| c.	Software runtime structure
58.Abstraction via inheritance is one effctive way to achieve the open-close principle| True
59.Polymorphism implies the following|c.	All of the others
60.Which of the following are benefits of object oriented design| e.	All of the others
61.Which of the following is an architecture design evaluation methodology?| a.	SAAM
62.SAAM relies on scenarios to test an architecture design| b.	True
63.Which of the following is NOT a benefit of Component architecture| a.	Performance
64.RMI is an example of the broker architecture| b.	True
65.Which of the following is NOT a typical style of distributed architecture?| MVC
66.In SOA architecture, Interperability means what?| c.	Technically any client or any services regardless of their Platform, Technology, Vendors, Language implementations
67.Event-based architecture is appropriate for a compiler in an IDE design| a.	False.	
68.The image below is an example of static style of user interce’slaout? Which which is the correct answer?| a.	It’s 1D layout
69.The abstraction and presentation components in a PAC agent do not talk to each other directly| a.	True
70.The PAC architecture is a hieracchically structured sofware architecture| a.	True
71.There is always onlyone architecture design that can meet all requirements| a.	False
72.The usability of a user interface is enhanced by consistency and integration.| a.	The usability of a user interface is enhanced by consistency and integration.
73.A component architecture can be derived from use case analysis and business concept diagrams| a.	True
74.Which of the following is NOT the benefit of Broker architecture style?| a.	Easy in testing
75.Blackboard architecture is difficult to debug and test.| True
76.Modifiability and expandability are essentially the same quality attribute.| False
77.Client-server architecture in general is more scalable than the multi-tier model? False
78.Implicit notication is often used in the MVC architecture.| True
79.Google Map is an example of services in SOA architecture| True
80.The interaction operations in the use case diagrams should be included as part of provided interfaces of components.| a.	True
81.Many MVC vender framework toolkits are available is one of the benefits of MVC architecture style| True
82.Which of the following is TRUE about heterogeneous architecture?| c.	If the general structure of a system is connected using one architecture style, and each component can use a different one, this is an example of heterogeneous architecture
83.Coupling in message-driven architecture is even looser than in event-driven architecture| a.	True
84.Batch sequential architecture is general more time efficient then pipe and filter| False
85.In user interface design step.User-centered factor consideration means what?| d.	Designers must take into account the needs, experiences, and capabilities of the system users.
86.Core type classes can be recognized as a new component| True
87.SAPCO stands for which?| a.	It refers to five major principles interface design considers:Simple, Aesthetic, Productive, Customizable, Other
88.Which is the most appropriate architecture style to develop a radar system like below?| PAC
89.In CORBA architecture, IDL-Stubs is which correspoding component in the Broker Architecture Style?| b.	Client-side proxy
90.In user interface evaluation step, we should focus on what?| c.	The usability of the interface
1.The constituent elements of software architecture are software elements and their connections| False
2.Software architecture design involves many software design methodologies and architecture styles.|True.
3.Software architecture = software architecture styles.| False.
4.Which of the following structures describe the static properties of software architecture?| Software code structure.
5.Different architecture structures have different element and connector types.| True.
6.Element and connector attributes are derived from the project requirements.| True.
7.Divide-and-conquer is not a suitable methodology for architecture design.| False.
8.Deployment decisions should be reflected in early architecture designs.| False.
9.Activity diagrams are used to support the process view.| True.
10.Deployment diagrams are used to support the physical view.| True.
11.Component diagrams are used to support the development view.| True.
12.The software sub modules and their interfaces are described in the logical view.| True.
13.Concurrency control activity is part of the process view.| True
14.System and network configuration decisions are part of the physical view.| True.
15.Software architecture is concerned only with functional requirements.| False.
16.Prototyping can be used to support UI design.| True.
17.ADL is a programming language.| False.
18.ADL can produce target code.| True.
19.ADL is used only for software architecture specification.| False.
20.Composite structure diagrams are based on object diagrams.| True.
21.Component diagrams are based on object diagrams.| True.
22.A UML diagram must provide a complete view of the entire software system.| True.
23.A component is a class or an object.| False.
24.Asynchronous message invocation can be expressed in sequence diagrams.| True.
25.Conditional branching can be represented in sequence diagrams.| True.
26.An activation in an object lifeline may have its own cycle message pointed back to itself in a sequence diagram.| True.
27.An interaction overview diagram is based on all low-level interaction diagrams.| True.
28.Architecture design is about choosing  the right single architecture style for a project| F
1.Which of the following are not benefits of pipe and filter?| Interactive.
2.Which of the followings are not benefits of batch sequential?|	Interactive.
3.COBOL is widely used to implement batch sequential.|	True.
4.Two modules in a data flow system can change their order without any constraints.|	False.
5.Java can be used to implement a pipe and filter design system.|	True.
6.The control flow in pipe and filter is explicit.| True.
7.The control flow in batch sequential is implicit.| True.
8.There are data sharing (shared data) among all subsystems in a data flow system.| False.
9.Sequential flow control can be predetermined in pipe and filter.| True.
10.Sequential flow control can be predetermined in batch sequential.| True.
1.Which of the following is not a benefit of repository architecture?| Concurrency.
2.Which of the following is a typical design domain of blackboard architecture?| AI system.
3.The Yellow Page of web service is an example of repository design.| True.
4.Implicit notification is often used in blackboard architecture.| True.
5.Repository architecture design must also be object-oriented design.| False.
6.Agents in the repository architecture normally do not talk with each other directly, except thought the data store.| True.
7.Loose coupling is used between repository agents.| True.
8.There is tight dependency of agents on the data store in the repository architecture.| True.	
9.Rule-based knowledge is installed in the blackboard component of the blackboard architecture.| False.
10.The facts or hypotheses are stored in the knowledge source component of a blackboard system.| False.
1.Which of the following is not a benefit of hierarchical architecture?| Concurrency.
2.Which of the following is a disadvantage of hierarchical architecture?|	Overhead.
3.Web service is an example of hierarchy architecture design.|	True.
4.Hierarchical architecture is a procedure-oriented design paradigm only.|	False.
5.Hierarchical architecture can also be applied in any object-oriented software design.|	True.
6.Only directly adjacent layers can invoke each other’s methods in a layered architecture.|	False.
7.Component deployment is a good practice in a layered architecture.|	True.
8.There is data sharing between all layers in a layered architecture.|	False.
9.The callback method is typically used in a main-subroutine architecture.|	False.
10.The master-slave architecture is a specialized form of main-subroutine architecture.| True.
11.Which of the following is not one of the benefits of distributed architecture?|	Supports multiple views
12.Which of the following is not a typical style of distributed architecture?|	Hierarchical architecture.
13.Client-server architecture in general is more scalable than the multi-tier model.|	False.
14.CORBA is an example of the broker architecture.| True.
15.Web service is an example of SOA architecture.|	True.
3.CCM is a target technology for component technology.| a.	True
4.Each component may have its provided ports and required ports from other components.| a.	True
5.Each component must have its provided ports and required ports| b.	False
6.The provided interface ports may be in synchronous or asynchronous modes.| a.	True
7.A component architecture can be derived from use case analysis and business concept diagram.| a.	True.
8.Core type classes can be recognized as a new component.| a.	True.
9.A core type component does not depend on any other classes.|a.	True.
10.The interaction operations in the use case diagrams should be included as part of provided interfaces of components.| a.	True.
1.Which of the following is used to evaluate architecture designs?| d.	ALL
2.Which of the following is true about heterogeneous architecture?| c.	If the general structure of a system is connected using one architecture style, and each component can use a different one, this is one example of heterogeneous architecture.
3.Modifiability and expandability are essentially the same quality attribute.| False
4.SAAM relies on use cases to test an architecture design.| False
5.There is always an architecture design that can meet all requirements.| False
6.Service-oriented architecture is stateless, while component-based architecture is not.| True
7.Batch sequential architecture is generally more time efficient than pipe and filter.| False
8.It is beneficial to integrate architecture design with the process of requirements analysis| a.	True
9.Event-based architecture is a good candidate for interactive systems with graphic user interface.| True
10.Blackboard architecture is difficult to debug| True
1.A user interface is mainly for accepting inputs, conducting computations, and displaying outputs.| Fasle
2.Chapter 3 of this book, on “models for software architecture,” has nothing to do with user interfaces described in this chapter.| False
3.User interface refers to static components and their layout, not dynamically displayed information.| False
4.The MVC models suggest the separation of the user interface from the logic of the software system?| a.	True.
6.The look and feel of a user interface can be defined by using engineering rules.| False
7.A customizable user interface is not a good style since it will confuse users.| False
8.The usability of a user interface is enhanced by consistency and integration.| True
9.The acronym SAPCO describes| c.	The satisfactory principles of user interfaces
10.The Java programing language supports graphical user interface components, layout managers, and event listeners, all needed for designing and implementing user interfaces.| True
1.The constituent parts the architecture of a system are:| a.	Its components, connectors, and the rules governing their interactions
2.Domain analysis identifies the various common features in a domain and their differences.| True
3.Control-of-variability forms the basis for reusability and standardization by identifying those crosscutting aspects that are typically present in the systems in a given domain.| False
4.Product line processes are a way to institutionalize systematic reuse.| False
5.Design-for-commonality anticipates variation without compromising commonality.| False
6.A domain is an area of expertise with specialized particular tasks organized into systems where all tasks work toward a common goals.| True
7.The goal of systematic reuse is to produce quality software products consistently and predictably by moving toward an asset supported development approach.| True
8.A software product line is a collection of components sharing a common, managed set of features that satisfy the specific needs of a selected system.| False
9.Reuse is not an end in itself but a means to an end.| True
10.Reusable assets are limited to code components.| False
11.Software components do not need adaption.| b.	False
12.Horizontal reuse refers to the use of an asset across several distinct domains or different product line.| a.	True
# Which of the following is not a benefit of the MVC architecture?| Support multiple independent agents
# Which of the following is a typical design domain for the MVC architecture?| Web server site application
# Traffic control agents in a city traffic management system may be designed using PAC.| True
# Implicit notification is often used in the MVC architecture.| True
# The data in the Model component of the MVC architecture is active| True
# The data in the Abstraction component of a PAC agent is passive.| True
# PAC agents are loosely couple.|     True
# The Abstraction and Presentation component in a PAC agent do not talk to each other directly.|     True
# The "Look and Feel" feature is well  supported in the MVC architecture.|     True
# The PAC architecture is a hierarchically structured software architecture.|      True
# Which of the following is the benefit of Blackboard Architecture Style? | B.  Reusability of knowledge source agents     
# In Data Flow architecture, a sub-system can be substituted by other sub-system without affecting the rest of the system as long as what of the following? | C.  The new sub-system is compatible with the corresponding input and output data format.
# Which is the reason why software reuse is critical? | A.  All of the others
# In Non-buffered Event-based architecture, how many partitions a system could be separated into? | A.  2 partitions
# Which is NOT a software structure that software architecture can be described with? | C.  State structure
# Choose the incorrect statement. | C.  UML diagram could be group into 3 major categories: Structural, Behavioral and Deployment.
# Which is the correct order of these steps? | Determine… => Quantify… => Compute…
# According to the classification on information carrier, when your application has 2 software elements which are in the same process and they may used a shared variable to exchange information. Which of the following is CORRECT category the connector should be? | B.Method
# Availability refers to ____ | D.  The ability of a system to be available 24x7
# Portability refers to ____ | A.  The ability to modify the system and extend it conveniently.
# In User Interface design step, Information representation factor consideration means what?|A.  Designers must take into account the needs, experiences, and capabilities of the system users.
# Evaluating the abstraction of software development methodology, Which is the right order? (">" is higher ) | C.  Component-based > Object-oriented > Functional-oriented > Service-based
# Quality attributes could be categorized into 3 groups which are? | A.  Implementation attributes, Runtime attributes, Business attributes
# In Layered architecture, the interface of each layer encapsulates __ | A.  All detailed service implementations in the current layer and the interfaces of the layers below.
# You will apply the batch sequential architecture when? | A.  Developing a system where intermediate file is a sequential access file.
# Which is the suitable architecture style when the application business model allows a component to send information to another and to continue to operate on its own without waiting for an immediate response? | D.  Buffered message-based architecture
# Which is the correct order in Object oriented design process? | Identify => Build=>Construct=>Class overview=>Class Detail
# Which view in "4+1" view model identifies software modules and their boundaries, interfaces, external environment, usage scenarios, etc.? | A.  Logical view
# Polymorphism implies _____ | A.  The invocation of a method is determined at run time
# In which architecture style, Each subsystem can be a stand-alone program working on input data and producing output data? | C.  Batch sequential architecture
# Which of the following is a INCORRECT description about component in Component-based architecture? | C.  A Component is NOT a modular.
# Which is the CORRECT statement about a pipe? | B.  A Pipe moves a data stream from one filter to another.
# In UML 2.0, Which of the following is TRUE?  | C.  Sequence Diagram describes time sequence of messages passed between objects in timeline.
# Quality attributes are used to make architectural decision, which of the following is NOT a quality attribute? | C.  Efficiency D.  Productivity E.  Functionality
# Which of the following is TRUE about buffered message system? | B.  All of the others
# Which of the following is NOT the benefit of Broker architecture style? | A.  Easy in testing.
# Which of the following is a limitation of Layered architecture? | D.  Lower runtime performance
# Three Object Oriented Principles are which of following? | D.  Encapsulation, Inheritance, Polymorphism
# Which of the following are PAC architecture's benefits? | B.  All of the others
# In interaction oriented software architecture, _____ is responsible for visual or audio data output presentation and it may also provide user input interface as well when necessary. Which is the best choice? | C.  The view presentation module
# In interaction oriented software architecture, _____ provides the data abstraction and all core business logic on data processing. Which is the best choice? | B.  The data module
# In Blackboard architecture, a controller takes which role? | B.  It takes a bootstrap role and overall supervision control.
# Which of the following is the INCORRECT statement about passive filter? | B.  It lets connected pipes to push data in and pull data out.
# UML diagrams are ____ which are used for system analysis and design | C.  Tools
# According to the classification on synchronization mode, when your application has 2 software elements (A and B) which communicate with each other by a method invocation and when A call B's method, it must be waited for receiving the method result. Which of the following is CORRECT category the connector should be? | B.  Blocking
# Which of the following is buffer-based software architecture? | A.  Peer-to-Peer connection
# Security belongs to which of the following quality attributes group? | C.  Runtime attributes
# What is the CORRECT statement about virtual repository? | D.  A virtual repository is built up on the top of multiple physical repository
# What is the INCORRECT statement about distributed repository? | B.  All data are centralized
# Which of the following is an Open-Close principle's implication? | A.  Separate interface and implementation
# Which of the following is NOT an architecture style in hierarchical architecture? | C.  Client-Server architecture
# For software project resource allocation, the software element are ____ | A.  Specific manipulation (design, implementation, debugging, etc.) of specific code units which has been assigned to the same project team
# In the interaction oriented software architectures, data initialization and system configuration actions are the responsibility of which module below? | D.  Controller module
# Which of the following is used to evaluate architecture design? | A.  All of the others
# Activity diagrams are used to support ____ | C.  The process view
# In User Interface design step, Friendliness factor consideration means what? | C.  The behaviors of a user interface should not surprise users. The user interface should include tutorials, searching engines, help facilities, updating links, etc.
# Which of the following is a benefit of component-based architecture? | C.  Independency and flexible connectivity of components
# According to IEEE Standard 1471, The system architecture is ____ | C.  A collection of components organized to accomplish a specific function or set of functions.
# In Broker architecture, Which component provides APIs for clients to request, servers to respond, registering or unregistering server components, transferring messages and locating servers? | E.  Skeleton
# In Thin-Client type, the server includes which of the following processing. | B.  Data Storage Processing, Business Logic Processing
# Which of the following is NOT an architecture style in hierarchical architecture? | A.  Message-based Architecture
# Which of the following statement is TRUE? | D.  The usability of a user interface is reduced by consistency and integration.
# Which architecture style supports loose coupling between legacy systems and modern systems for integration development? | A.  Buffered message-based architecture
# Which of the following is the benefit of Blackboard Architecture Style? | B.  Reusability of knowledge source agents
# In Data Flow architecture, a sub-system can be substituted by other sub-system without affecting the rest of the system as long as what of the following? | C.  The new sub-system is compatible with the corresponding input and output data format.
# Which of the following is NOT the benefit of multi-tier architecture style? | Load balancing (correct)
# Event-based architecture is difficult to test and debug | True (correct)
# Main- subroutine architecture can also be applied in any object-oriented software design | True
# Component deployment is a good practice in a layered architecture. | True (correct)
# In Client-Server architecture style, there are follow types: | Thin-client, Fat-client (correct)
# Client-server architecture is general is better availability than the multi-tier model | False (correct)
# The following image is an example of one of architecture style below. Which is the best choice? | Multi-tier Architecture Style (correct)
# Sequential flow control can be predetermined in batch sequential. | True (correct)
# Facts are installed in the Blackboard component of the Blackboard architecture? | True(correct)
# RPG is widely used to implement batch sequential | True….
# Event-based architecture style is a buffered architecture | False 
# Only directly adjacent layers can invoke each other’s methods in a layered architecture. | False 
# Java can be used to implement a pipe and filter design system. | True 
# The control flow in batch sequential is implicit. | True 
# The following image is an example of one of architecture style below. Which is the best choice?|Process-Control architecture
# In Thin-client type, the server includes which  of the following processing | Data storage processing, Business Logic Processing
# Implicit notification is often used in blackboard architecture. | True 
# The control flow in pipe and filter is explicit. | True 
# FPT’s University CMS is an example of repository design | True
